2025-04-13 21:46:55.429 | ERROR    | proxy_tester:test_proxy:41 - Proxy 117.102.86.146:8080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCE710>, 'Connection to 117.102.86.146 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.429 | ERROR    | proxy_tester:test_proxy:41 - Proxy 45.189.108.13:999 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCEAD0>, 'Connection to 45.189.108.13 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.431 | ERROR    | proxy_tester:test_proxy:41 - Proxy 103.126.87.144:8081 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCEE90>, 'Connection to 103.126.87.144 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.430 | ERROR    | proxy_tester:test_proxy:41 - Proxy 78.28.152.111:80 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCED50>, 'Connection to 78.28.152.111 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.431 | ERROR    | proxy_tester:test_proxy:41 - Proxy 36.50.112.145:8080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCE850>, 'Connection to 36.50.112.145 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.432 | ERROR    | proxy_tester:test_proxy:41 - Proxy 46.10.209.230:8080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCE990>, 'Connection to 46.10.209.230 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.432 | ERROR    | proxy_tester:test_proxy:41 - Proxy 213.158.112.202:8080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCEFD0>, 'Connection to 213.158.112.202 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.447 | ERROR    | proxy_tester:test_proxy:41 - Proxy 157.20.98.74:1111 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCFED0>, 'Connection to 157.20.98.74 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.433 | ERROR    | proxy_tester:test_proxy:41 - Proxy 45.9.73.203:8080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCEC10>, 'Connection to 45.9.73.203 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.446 | ERROR    | proxy_tester:test_proxy:41 - Proxy 103.158.162.18:8080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCF110>, 'Connection to 103.158.162.18 timed out. (connect timeout=10)')))
